from	to
C0048318	D11AX
C0035629	J05AC
C0027603	R02AB
C0027603	A07AA
C0027603	S01AA
C0027603	S02AA
C0027603	D06AX
C0027603	S03AA
C0027603	J01GB
C0027603	B05CA
C0027603	A01AB
C0073085	D10AX
C0073085	S01AX
C0008947	D10AF
C0008947	J01FF
C0008947	G01AA
C0059688	C01BC
C0033254	N04AA
C0301408	N05CA
C0009074	A01AB
C0009074	D01AC
C0009074	G01AF
C0000665	R02AA
C0000665	G01AC
C0000665	A01AB
C0000665	D08AH
C1137427	A16AB
C3858054	A08AA
C0031463	M02AA
C0031463	M01AA
C3652525	J07AP
C0771612	N02BA
C0040898	P02BB
C3871437	J01XE
C0017628	A10BB
C0065936	M05BX
C5227832	R03AL
C3536832	V03AN
C0795635	A10AE
C0795635	A10AC
C0795635	A10AF
C0795635	A10AD
C0795635	A10AB
C3871448	S01CC
C0086444	V03AF
C3652709	J01EE
C0004499	J01CA
C3652866	D11AX
C0022181	S01EB
C0360734	C09BA
C1562019	A16AX
C3885068	A10BJ
C3833028	S01FB
C4519126	N02CD
C3652929	A03BA
C3652968	A03CA
C3652510	J07BA
C0906166	A10BX
C0021978	D08AH
C0021978	D09AA
C0021978	G01AC
C0021978	S02AA
C0021978	P01AA
C3653278	R05CA
C1832027	L01FA
C1832027	L04AA
C0036078	A07EC
C0064777	R05CB
C0074710	N04BC
C3652718	V03AB
C0162922	V08CX
C0076793	D01AE
C0717767	B03AD
C3653230	N02BB
C0016299	C05AA
C0016299	D07AC
C0029994	P02BA
C4043101	N06DX
C0072862	A14AA
C0593472	J06BB
C0085542	C10AA
C3700400	A10BD
C3244837	A10BH
C1176309	L01XG
C0002144	M04AA
C0015109	R05DA
C0015109	S01XA
C0054201	R03BA
C0054201	R01AD
C0054201	A07EA
C0054201	D07AC
C3714569	N02BB
C0718066	A16AX
C1700874	L01EK
C0002435	J01CA
C5574974	P01AB
C0015120	N01BB
C3539182	B05CB
C0042670	L01CA
C5139798	A16AB
C0028215	N01AX
C1173376	A03AX
C0029193	R03AB
C0029193	R03CB
C0032952	A07EA
C0032952	H02AB
C0089958	N05BA
C3653070	C03AB
C0014961	D08AA
C0014961	B05CA
C0014758	C01DA
C0284941	N07BB
C3652504	J07AH
C3253985	J05AJ
C0060657	R03CC
C0060657	R03AC
C0040864	D07XB
C0040864	C05AA
C0040864	D07AB
C0040864	R01AD
C0040864	S01BA
C0040864	H02AB
C0040864	R03BA
C0040864	A01AC
C3885063	V03AB
C3652899	D07BC
C0142825	B05CB
C0019223	C01DX
C0068742	A07AX
C0070072	N03AC
C0041009	N04AA
C3191261	J05AR
C0051556	D07AC
C5563936	N02AJ
C0060504	M01AE
C0060504	G02CC
C0111063	D03AX
C0379135	D03AX
C0379135	A01AD
C0078643	S01GA
C0078643	R01AA
C0078643	R01AB
C0618388	P01AA
C0024730	B05BC
C0024730	V04CX
C0024730	B05CX
C0024730	A06AD
C0024730	R05CB
C0016377	M01AE
C0016377	S01BC
C0016377	M02AA
C0016377	R02AX
C2987430	L01EB
C4519300	J02AC
C3652860	A06AD
C3700401	J01RA
C0699481	N04AB
C0031681	J05AD
C0028365	S01AE
C0028365	J01MA
C3653170	P03AC
C3652879	S01EA
C0008269	P01BA
C1693912	S01LA
C0086728	V03AB
C3653224	J07BJ
C3540027	C01CA
C0018318	S01EX
C0018318	C02CC
C0073629	H01CC
C3653058	R03DB
C3652563	A12CC
C0008932	R03AC
C0008932	R03CC
C0065865	S01BA
C5139890	S01LA
C0020281	A01AB
C0020281	D08AX
C0020281	D11AX
C0020281	S02AA
C5783053	J04BA
C3709474	R03BB
C0010592	S01XA
C0010592	L04AD
C3652748	C09DB
C1172636	J01XA
C3661282	N06AX
C0164815	J05AB
C0164815	D06BB
C0063953	G01AF
C0063953	D01AC
C3653155	R06AB
C1872109	L04AB
C0060501	R03BA
C0060501	R01AD
C1302086	C03CB
C4316850	M09AA
C3652643	V10AX
C3652901	A06AB
C3652757	A03CB
C0054157	G01AC
C0054157	P01AA
C0054157	A07AX
C0536495	J01MA
C0536495	S01AE
C0028017	P02DA
C0962603	L04AA
C3899947	L01EE
C0040805	N06AX
C0074281	D01AE
C0016945	V04CE
C0025042	M01AG
C0025042	M02AA
C0359156	L04AA
C0007906	D09AA
C0007906	D08AJ
C0007906	B05CA
C0007906	R02AA
C0020811	D06BB
C0020811	J05AB
C0020811	S01AD
C0038753	V04CE
C0058765	M01AC
C3652431	S01XA
C2981321	R05DB
C0171447	J01MA
C0053570	D01AC
C2364481	B02BX
C0301302	D01AE
C0301302	G01AX
C0012381	R06AA
C0771169	R05DB
C0085251	C01BC
C0279218	L01FX
C0082787	D07AC
C0040845	L01XF
C0040845	D10AD
C1449556	J07BX
C3652430	J07BE
C0048504	V03AB
C3652975	D07CC
C0007248	M03BA
C0028053	C10AD
C0028053	C04AC
C1101425	C01EB
C0076723	A03AC
C5227833	C09DX
C4519167	L01EH
C0012052	P03BX
C0002658	N06BA
C1678805	L04AA
C3854019	S03AA
C3854019	J01GB
C3854019	S02AA
C3854019	D06AX
C3854019	S01AA
C0027679	N07AA
C0027679	S01EB
C0020411	A05AX
C0001927	R03AC
C0001927	R03CC
C0069805	G04BD
C0050403	M01AB
C0050403	M02AA
C1620263	A10BD
C0796561	L03AX
C0016351	D07AB
C0016351	S01BA
C0016351	D10AA
C0016351	C05AA
C0016351	S01CB
C0016351	D07XB
C0025373	A01AB
C0025373	D01AA
C0025373	G04CX
C0025373	G01AA
C0014479	S01FB
C0014479	R01AB
C0014479	R01AA
C0014479	R03CA
C0014479	C01CA
C0593516	V08DA
C0057799	D08AC
C0057799	S01AX
C0018880	V03AN
C0012373	C05AE
C0012373	C08DB
C0021528	S01XA
C0021528	D06BB
C0021528	G01AX
C3541398	V01AA
C0055819	A09AB
C2926870	G04CA
C0001187	D08AA
C4079904	V03AB
C0093437	N07AX
C0034266	A11HA
C3653089	P01AA
C3652427	A06AC
C0038425	J01GA
C0038425	A07AA
C0031406	B01AA
C0677667	L01BA
C3652846	N05CX
C0025760	G02AB
C0040233	C07AA
C0040233	S01ED
C3652475	V09GA
C0006795	N05BA
C0075783	C07AB
C0012201	A08AA
C0051736	D01AE
C0037125	D08AL
C3489483	V08CA
C0006055	M03AX
C5783238	B03AD
C3882783	J05AP
C0019134	C05BA
C0019134	B01AB
C0019134	S01XA
C0033459	N05AC
C3652666	B03AB
C0060838	G01AA
C3652515	J07AK
C0032950	A07EA
C0032950	S01BA
C0032950	H02AB
C0032950	A01AC
C0032950	S02BA
C0032950	R01AD
C0032950	D07AA
C0032950	C05AA
C0032950	S03BA
C0032950	S01CB
C0032950	D07XA
C0028741	A07AA
C0028741	D01AA
C0028741	G01AA
C0060275	B03AA
C0023992	A07DA
C3652761	J07CA
C0022614	N01AX
C0041031	R06AD
C0256552	N07CA
C3652942	N05CC
C3652788	C03AB
C3653173	S01ED
C4301621	C07FX
C0008196	D08AC
C0008196	S02AA
C0008196	D09AA
C0008196	A01AB
C0008196	S01AX
C0008196	S03AA
C0008196	B05CA
C0008196	R02AA
C0022487	J01GB
C0022487	S01AA
C0022487	A07AA
C3885145	L04AC
C0058446	G02CB
C3653185	D10AD
C4055417	L01FF
C0051247	M01AE
C0246584	J01DE
C0009325	G04BX
C0009325	B02BC
C3652441	C05CA
C0069488	G01AF
C0069488	D01AC
C0393080	J02AC
C2369192	V09IX
C2137694	D07XB
C2137694	D07AB
C0538777	L03AA
C1260235	G03AA
C1260235	G03AB
C0050393	A10BF
C0051511	D09AA
C0051511	M05BX
C0002334	C07AA
C0069351	A01AB
C0069351	R02AA
C0028070	G01AX
C5139878	L04AA
C2352806	L01FE
C0262964	J04AB
C0035554	J01GB
C3501981	A10BH
C0041098	R06AX
C1977391	J05AR
C0304984	V09CX
C0005578	N04AA
C0060241	B03AB
C0037688	B05CX
C0037688	A06AD
C0037688	V04CC
C0037688	A06AG
C1101148	S01GX
C1101148	R06AX
C3653156	R06AB
C0007549	J01DD
C0007549	S01AA
C0007549	S02AA
C0128513	C01CE
C5227845	A02BD
C5783061	M03BX
C0000578	N06AX
C0060394	N06BX
C0059459	A05BA
C0059699	C05BB
C0008809	S01AE
C0008809	S03AA
C0008809	J01MA
C0008809	S02AA
C3660206	P01BF
C3652898	A02BD
C0017725	B05CX
C0017725	V06DC
C0017725	V04CA
C0085228	N06AB
C5227824	J05AP
C0066101	R06AD
C0033567	B01AC
C3653200	R03DA
C0017066	J05AB
C0017066	S01AD
C3652819	D08AJ
C3652819	G01AX
C0028089	R07AB
C0072155	N01AG
C3886623	L01EJ
C3653154	N07XX
C0543448	A12CC
C0001040	N06BX
C0389169	J01DH
C0064906	H01CA
C0040382	M03BX
C0040382	M02AX
C3652703	C07BA
C0025639	A14AA
C0041165	J01FA
C0070742	R05DA
C3653253	N02CA
C0004259	A03BA
C0004259	S01FA
C0041175	B05BB
C0041175	B05XX
C3652469	V09DB
C0006710	A11HA
