name	level	cui
mequinol	5.0	C0048318
rimantadine	5.0	C0035629
neomycin	5.0	C0027603
resorcinol	5.0	C0073085
clindamycin	5.0	C0008947
ethacizine	5.0	C0059688
procyclidine	5.0	C0033254
vinbarbital	5.0	C0301408
clotrimazole	5.0	C0009074
oxyquinoline	5.0	C0000665
agalsidase beta	5.0	C1137427
bupropion and naltrexone	5.0	C3858054
phenylbutazone	5.0	C0031463
typhoid, purified polysaccharide antigen	5.0	C3652525
morpholine salicylate	5.0	C0771612
metrifonate	5.0	C0040898
nitrofurantoin, combinations	5.0	C3871437
glibenclamide	5.0	C0017628
menatetrenone	5.0	C0065936
indacaterol, glycopyrronium bromide and mometasone	5.0	C5227832
medical air	5.0	C3536832
insulin (human)	5.0	C0795635
indometacin and antiinfectives	5.0	C3871448
dexrazoxane	5.0	C0086444
sulfadimidine and trimethoprim	5.0	C3652709
azlocillin	5.0	C0004499
gamolenic acid, combinations	5.0	C3652866
fluostigmine	5.0	C0022181
lisinopril and diuretics	5.0	C0360734
sodium benzoate and sodium phenylacetate	5.0	C1562019
semaglutide	5.0	C3885068
phenylephrine and ketorolac	5.0	C3833028
rimegepant	5.0	C4519126
belladonna total alkaloids	5.0	C3652929
glycopyrronium bromide and psycholeptics	5.0	C3652968
encephalitis, Japanese, inactivated, whole virus	5.0	C3652510
mitiglinide	5.0	C0906166
clioquinol	5.0	C0021978
altheae radix	5.0	C3653278
ofatumumab	5.0	C1832027
sulfasalazine	5.0	C0036078
letosteine	5.0	C0064777
pramipexole	5.0	C0074710
prednisolone and promethazine	5.0	C3652718
perflubron	5.0	C0162922
tolciclate	5.0	C0076793
ferrous fumarate and folic acid	5.0	C0717767
propyphenazone, combinations with psycholeptics	5.0	C3653230
fluocinonide	5.0	C0016299
oxamniquine	5.0	C0029994
aducanumab	5.0	C4043101
quinbolone	5.0	C0072862
encephalitis, tick borne immunoglobulin	5.0	C0593472
pravastatin	5.0	C0085542
metformin and dapagliflozin	5.0	C3700400
sitagliptin and simvastatin	5.0	C3244837
bortezomib	5.0	C1176309
allopurinol	5.0	C0002144
ethylmorphine	5.0	C0015109
budesonide	5.0	C0054201
metamizole sodium	5.0	C3714569
sodium phenylbutyrate	5.0	C0718066
axitinib	5.0	C1700874
mecillinam	5.0	C0002435
metronidazole and furazolidone	5.0	C5574974
etidocaine	5.0	C0015120
Salt solution combinations	5.0	C3539182
vinblastine	5.0	C0042670
pegunigalsidase alfa	5.0	C5139798
nitrous oxide	5.0	C0028215
fenpiprane	5.0	C1173376
orciprenaline	5.0	C0029193
prednisone	5.0	C0032952
mexazolam	5.0	C0089958
trichlormethiazide and potassium	5.0	C3653070
ethacridine lactate	5.0	C0014961
eritrityl tetranitrate	5.0	C0014758
acamprosate	5.0	C0284941
meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen	5.0	C3652504
dolutegravir	5.0	C3253985
formoterol	5.0	C0060657
triamcinolone	5.0	C0040864
idarucizumab	5.0	C3885063
diflucortolone and antiseptics	5.0	C3652899
sodium citrate	5.0	C0142825
heptaminol	5.0	C0019223
nifuroxazide	5.0	C0068742
paramethadione	5.0	C0070072
trihexyphenidyl	5.0	C0041009
emtricitabine, tenofovir disoproxil and rilpivirine	5.0	C3191261
amcinonide	5.0	C0051556
tramadol and celecoxib	5.0	C5563936
flunoxaprofen	5.0	C0060504
crilanomer	5.0	C0111063
becaplermin	5.0	C0379135
xylometazoline	5.0	C0078643
tilbroquinol	5.0	C0618388
mannitol	5.0	C0024730
flurbiprofen	5.0	C0016377
dacomitinib	5.0	C2987430
oteseconazole	5.0	C4519300
lactulose, combinations	5.0	C3652860
levofloxacin and ornidazole	5.0	C3700401
orphenadrine (chloride)	5.0	C0699481
fosfonet	5.0	C0031681
norfloxacin	5.0	C0028365
bioallethrin, combinations	5.0	C3653170
epinephrine, combinations	5.0	C3652879
chloroquine	5.0	C0008269
anecortave	5.0	C1693912
obidoxime	5.0	C0086728
rubella, combinations with mumps, live attenuated	5.0	C3653224
Adrenergic and dopaminergic agents combinations	5.0	C3540027
guanethidine	5.0	C0018318
ganirelix	5.0	C0073629
proxyphylline and adrenergics	5.0	C3653058
magnesium (different salts in combination)	5.0	C3652563
clenbuterol	5.0	C0008932
medrysone	5.0	C0065865
faricimab	5.0	C5139890
hydrogen peroxide	5.0	C0020281
dapsone, rifampicin and clofazimine	5.0	C5783053
umeclidinium bromide	5.0	C3709474
ciclosporin	5.0	C0010592
losartan and amlodipine	5.0	C3652748
dalbavancin	5.0	C1172636
vortioxetine	5.0	C3661282
penciclovir	5.0	C0164815
isoconazole	5.0	C0063953
dexchlorpheniramine, combinations	5.0	C3653155
certolizumab pegol	5.0	C1872109
flunisolide	5.0	C0060501
bumetanide and potassium	5.0	C1302086
hydroquinine	5.0	C4316850
dysprosium (165Dy) colloid	5.0	C3652643
contact laxatives in combination	5.0	C3652901
hyoscyamine and psycholeptics	5.0	C3652757
broxyquinoline	5.0	C0054157
moxifloxacin	5.0	C0536495
niclosamide	5.0	C0028017
alefacept	5.0	C0962603
binimetinib	5.0	C3899947
trazodone	5.0	C0040805
selenium sulfide	5.0	C0074281
galactose	5.0	C0016945
meclofenamic acid	5.0	C0025042
antithymocyte immunoglobulin (rabbit)	5.0	C0359156
cetylpyridinium	5.0	C0007906
idoxuridine	5.0	C0020811
sulfobromophthalein	5.0	C0038753
droxicam	5.0	C0058765
limbal stem cells, autologous	5.0	C3652431
meprotixol	5.0	C2981321
sitafloxacin	5.0	C0171447
bifonazole	5.0	C0053570
romiplostim	5.0	C2364481
